"last_name, first_name","player_id","year","player_age","ab","pa","hit","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_game","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","popups_percent","sprint_speed"
"Quinn, Roman","596451","2022","29","79","87","17","36","7",41.4,8,".215",".304",".287","0.591","3","4","44","91.3","23.3",30.2,4.7,7,41.9,"101.843556842","95.652174595",35.2,46.7,53.5,25.6,20.9,9.3,"29.5"
"Franco, Maikel","596748","2022","29","371","388","85","75","12",19.3,3.1,".229",".342",".255","0.597","0","1","103","87","11.5",33.1,4.7,5.7,34.4,"98.818458378","93.432468176",28,53.6,44.1,33.8,22.1,10.4,"25.5"
"Choi, Ji Man","596847","2022","31","356","419","83","123","58",29.4,13.8,".233",".388",".341","0.729","0","0","113","92.2","10.6",37.3,11.9,8.1,47.5,"101.295507712","95.335577574",32.3,41.7,40.7,35.2,24.2,4.7,"25.1"
"Bradley Jr., Jackie","598265","2022","32","344","370","70","77","24",20.8,6.5,".203",".311",".255","0.566","3","2","131","87.6","7.4",29.4,4.8,7.4,37.2,"98.071881353","93.116593208",29.4,49.7,39.8,36.4,23.8,6.3,"27.1"
"La Stella, Tommy","600303","2022","33","180","195","43","30","11",15.4,5.6,".239",".350",".282","0.632","0","0","60","87.9","14.6",37.3,2,6.5,32,"97.045650909","92.615035294",16.7,40.7,37.3,39.9,22.9,7.8,"24.9"
"Severino, Pedro","600474","2022","28","18","21","4","7","3",33.3,14.3,".222",".333",".333","0.666","0","0","8","86.7","16.3",36.4,0,9.1,18.2,"94.839596667","91.917471818",30.4,48.4,45.5,18.2,36.4,9.1,"25.3"
"Candelario, Jeimer","600869","2022","28","429","467","93","109","28",23.3,6,".217",".361",".272","0.633","1","0","124","87.2","13.5",37,8.3,4,34.6,"98.352499379","93.27808162",25.4,52.6,39.8,33.6,26.5,9,"27.3"
"Daza, Yonathan","602074","2022","28","372","408","112","58","26",14.2,6.4,".301",".384",".349","0.733","3","0","113","84.8","4.6",34.1,1.9,2.5,25,"95.180250189","91.627182587",18.7,50.5,34.4,38.4,27.2,2.2,"28.1"
"Urías, Ramón","602104","2022","28","403","445","100","98","30",22,6.7,".248",".414",".305","0.719","0","1","118","89.4","11",32.1,9.6,5.4,46.5,"100.690244675","94.67897342",27.4,49.8,37.8,36.9,25.3,7.4,"26.7"
"Ahmed, Nick","605113","2022","32","52","54","12","15","2",27.8,3.7,".231",".442",".259","0.701","1","0","17","86.9","4.4",32.4,5.4,10.8,32.4,"96.865202778","92.508848611",25,51.2,45.9,32.4,21.6,2.7,"27.9"
